ts_event,open,high,low,close,volume
2022-03-01 13:00:00+00:00,163.96,165.09,163.6,164.7,39839
2022-03-01 14:00:00+00:00,164.7,166.51,164.37,165.7,3100356
2022-03-01 15:00:00+00:00,165.75,166.59,164.94,165.17,2388983
2022-03-01 16:00:00+00:00,165.17,165.74,163.32,163.59,1862468
2022-03-01 17:00:00+00:00,163.58,164.4,163.03,164.11,1280590
2022-03-01 18:00:00+00:00,164.1,164.4,162.51,162.99,1285650
2022-03-01 19:00:00+00:00,163.0,163.51,162.575,162.72,1196792
2022-03-01 20:00:00+00:00,162.73,163.89,161.98,163.18,3573567
2022-03-01 21:00:00+00:00,163.17,163.97,163.15,163.46,6587893
2022-03-01 22:00:00+00:00,163.41,163.52,163.21,163.3,4919
2022-03-01 23:00:00+00:00,163.25,163.7,163.21,163.69,5265
2022-03-02 09:00:00+00:00,165.0,165.0,162.5,163.99,16221
2022-03-02 10:00:00+00:00,163.98,164.69,163.6,164.1,10907
2022-03-02 11:00:00+00:00,164.1,164.77,164.0,164.48,12513
2022-03-02 12:00:00+00:00,164.48,164.6,163.65,163.9,24113
2022-03-02 13:00:00+00:00,163.93,163.94,163.22,163.65,48870
2022-03-02 14:00:00+00:00,163.66,164.7,163.05,164.04,2169204
2022-03-02 15:00:00+00:00,164.05,165.18,162.95,164.61,2600367
2022-03-02 16:00:00+00:00,164.6,166.46,164.16,165.89,2434581
2022-03-02 17:00:00+00:00,165.89,166.725,165.71,166.18,1390164
2022-03-02 18:00:00+00:00,166.2,167.0,166.2,166.71,1048308
2022-03-02 19:00:00+00:00,166.71,167.25,166.605,166.76,1135597
2022-03-02 20:00:00+00:00,166.75,167.35,166.44,166.54,3010815
2022-03-02 21:00:00+00:00,166.52,166.56,165.97,166.17,8473824
2022-03-02 22:00:00+00:00,166.19,166.24,165.92,166.1,1560
2022-03-02 23:00:00+00:00,166.12,166.3,166.12,166.2,2080
2022-03-03 09:00:00+00:00,166.56,166.57,165.92,166.39,7869
2022-03-03 10:00:00+00:00,166.39,166.43,166.0,166.39,4760
2022-03-03 11:00:00+00:00,166.32,166.8,165.91,166.2,7566
2022-03-03 12:00:00+00:00,166.18,166.81,166.08,166.53,18851
2022-03-03 13:00:00+00:00,166.54,167.95,166.54,167.86,49358
2022-03-03 14:00:00+00:00,167.86,168.91,167.52,168.06,2612372
2022-03-03 15:00:00+00:00,168.08,168.4,166.015,166.03,1982976
2022-03-03 16:00:00+00:00,166.03,167.02,165.73,166.83,1541443
2022-03-03 17:00:00+00:00,166.82,167.92,166.1,167.11,1564715
2022-03-03 18:00:00+00:00,167.1,167.8,166.88,167.37,1038828
2022-03-03 19:00:00+00:00,167.36,167.89,166.59,166.69,1102275
2022-03-03 20:00:00+00:00,166.68,166.74,165.555,166.3,2717365
2022-03-03 21:00:00+00:00,166.3,166.4,166.01,166.29,5190952
2022-03-03 22:00:00+00:00,166.3,166.34,165.88,166.15,14462
2022-03-03 23:00:00+00:00,166.09,166.4,165.96,166.4,2562
2022-03-04 09:00:00+00:00,164.83,165.14,164.29,164.4,22682
2022-03-04 10:00:00+00:00,164.4,165.18,164.3,164.55,9649
2022-03-04 11:00:00+00:00,164.53,164.91,164.25,164.62,9969
2022-03-04 12:00:00+00:00,164.61,164.87,164.05,164.76,32676
2022-03-04 13:00:00+00:00,164.73,165.68,164.47,164.89,71649
2022-03-04 14:00:00+00:00,164.88,165.55,163.88,165.03,2540088
2022-03-04 15:00:00+00:00,165.04,165.31,162.23,162.59,3132033
2022-03-04 16:00:00+00:00,162.6,163.15,162.11,162.76,1801413
2022-03-04 17:00:00+00:00,162.75,163.95,162.49,163.69,1593386
2022-03-04 18:00:00+00:00,163.7,164.46,163.04,163.12,1276803
2022-03-04 19:00:00+00:00,163.12,163.72,162.52,162.62,1349986
2022-03-04 20:00:00+00:00,162.61,163.53,162.12,163.22,3220387
2022-03-04 21:00:00+00:00,163.17,164.07,162.84,163.04,6912699
2022-03-04 22:00:00+00:00,163.02,163.24,162.94,163.12,2242
2022-03-04 23:00:00+00:00,163.05,163.16,163.01,163.05,6700
2022-03-07 09:00:00+00:00,160.3,160.86,159.7,160.01,57599
2022-03-07 10:00:00+00:00,160.09,160.4,159.91,159.91,19486
2022-03-07 11:00:00+00:00,159.97,160.84,159.69,160.84,26431
2022-03-07 12:00:00+00:00,160.84,162.31,160.84,161.87,77547
2022-03-07 13:00:00+00:00,161.88,162.9,161.85,162.72,51633
2022-03-07 14:00:00+00:00,162.74,165.04,162.58,162.64,3056423
2022-03-07 15:00:00+00:00,162.65,162.94,161.39,162.37,2322702
2022-03-07 16:00:00+00:00,162.37,163.99,162.27,163.06,1632915
2022-03-07 17:00:00+00:00,163.06,163.08,161.32,161.57,1743853
2022-03-07 18:00:00+00:00,161.56,162.19,160.9,161.16,1510156
2022-03-07 19:00:00+00:00,161.15,161.68,160.19,160.42,1293378
2022-03-07 20:00:00+00:00,160.41,160.58,159.04,159.31,4099376
2022-03-07 21:00:00+00:00,159.31,159.52,158.5,158.57,9975538
2022-03-07 22:00:00+00:00,158.58,158.63,158.2,158.31,15811
2022-03-07 23:00:00+00:00,158.37,158.72,158.02,158.49,11474
2022-03-08 09:00:00+00:00,159.44,160.21,159.37,159.68,39542
2022-03-08 10:00:00+00:00,159.68,159.8,159.16,159.74,17924
2022-03-08 11:00:00+00:00,159.73,159.9,159.2,159.86,9418
2022-03-08 12:00:00+00:00,159.75,160.73,159.07,159.25,74634
2022-03-08 13:00:00+00:00,159.27,159.75,158.28,159.01,104915
2022-03-08 14:00:00+00:00,159.07,160.32,158.41,159.26,4073018
2022-03-08 15:00:00+00:00,159.24,159.24,156.06,157.98,3669595
2022-03-08 16:00:00+00:00,158.0,158.38,155.8,156.91,2388647
2022-03-08 17:00:00+00:00,156.91,162.16,156.85,161.75,3154511
2022-03-08 18:00:00+00:00,161.76,162.87,158.59,158.61,3037041
2022-03-08 19:00:00+00:00,158.62,160.0,157.835,159.43,2151839
2022-03-08 20:00:00+00:00,159.43,160.49,157.11,157.28,4312603
2022-03-08 21:00:00+00:00,157.36,157.55,156.47,156.67,8300713
2022-03-08 22:00:00+00:00,156.68,156.72,156.5,156.52,11431
2022-03-08 23:00:00+00:00,156.52,157.21,156.5,157.09,8481
2022-03-09 09:00:00+00:00,159.82,161.02,159.63,160.99,57515
2022-03-09 10:00:00+00:00,160.99,161.59,160.51,160.56,42128
2022-03-09 11:00:00+00:00,160.59,161.22,160.52,160.65,22396
2022-03-09 12:00:00+00:00,160.66,160.97,160.16,160.73,47203
2022-03-09 13:00:00+00:00,160.75,161.39,160.68,160.99,101914
2022-03-09 14:00:00+00:00,160.99,161.99,159.41,160.42,3450140
2022-03-09 15:00:00+00:00,160.42,162.25,160.17,162.05,2289238
2022-03-09 16:00:00+00:00,162.06,162.16,161.03,162.0,1319221
2022-03-09 17:00:00+00:00,162.01,162.68,161.56,162.66,1334460
2022-03-09 18:00:00+00:00,162.67,162.68,161.565,161.98,1101380
2022-03-09 19:00:00+00:00,161.99,163.0,161.8,162.57,1312843
2022-03-09 20:00:00+00:00,162.58,163.41,162.28,162.98,3521543
2022-03-09 21:00:00+00:00,162.95,163.2,162.52,162.66,8296540
2022-03-09 22:00:00+00:00,162.69,162.69,162.34,162.41,6988
2022-03-09 23:00:00+00:00,162.42,162.42,161.8,161.96,17996
