ts_event,open,high,low,close,volume
2022-04-11 12:00:00+00:00,444.55,444.69,443.7,444.21,58662
2022-04-11 13:00:00+00:00,444.26,445.0,442.89,444.12,2255117
2022-04-11 14:00:00+00:00,444.06,444.48,441.98,442.36,2423623
2022-04-11 15:00:00+00:00,442.33,442.75,441.61,442.16,1325605
2022-04-11 16:00:00+00:00,442.15,442.34,441.36,441.85,1150713
2022-04-11 17:00:00+00:00,441.82,442.57,441.43,442.23,1027140
2022-04-11 18:00:00+00:00,442.22,442.785,441.19,442.45,1183861
2022-04-11 19:00:00+00:00,442.46,443.0,439.395,439.97,4174567
2022-04-11 20:00:00+00:00,439.95,440.17,439.6,440.01,441546
2022-04-11 21:00:00+00:00,440.01,440.12,439.9,440.05,30035
2022-04-11 22:00:00+00:00,440.07,440.35,440.07,440.35,42086
2022-04-11 23:00:00+00:00,440.25,440.25,439.49,439.66,5556
2022-04-12 08:00:00+00:00,438.21,439.99,438.08,439.92,18266
2022-04-12 09:00:00+00:00,439.7,440.22,439.34,439.96,8685
2022-04-12 10:00:00+00:00,439.98,440.51,439.69,440.3,40225
2022-04-12 11:00:00+00:00,440.1,440.56,439.71,440.46,38917
2022-04-12 12:00:00+00:00,440.52,445.3,440.34,444.79,468471
2022-04-12 13:00:00+00:00,444.74,445.74,442.37,445.03,1921746
2022-04-12 14:00:00+00:00,445.07,445.3,442.22,442.63,1837852
2022-04-12 15:00:00+00:00,442.62,444.5,442.22,443.68,1198507
2022-04-12 16:00:00+00:00,443.67,443.74,441.23,442.02,1221032
2022-04-12 17:00:00+00:00,442.0,442.7,439.4,439.62,1573382
2022-04-12 18:00:00+00:00,439.59,440.34,437.98,438.81,1984193
2022-04-12 19:00:00+00:00,438.81,439.02,436.66,438.24,3750722
2022-04-12 20:00:00+00:00,438.24,438.84,437.89,438.59,244579
2022-04-12 21:00:00+00:00,438.72,438.76,438.59,438.7,11505
2022-04-12 22:00:00+00:00,438.71,439.04,438.4,438.99,5281
2022-04-12 23:00:00+00:00,439.17,439.65,439.14,439.64,42539
2022-04-13 08:00:00+00:00,440.84,441.62,440.75,441.6,4320
2022-04-13 09:00:00+00:00,441.27,441.37,439.58,439.61,4360
2022-04-13 10:00:00+00:00,439.73,440.8,439.73,440.73,52879
2022-04-13 11:00:00+00:00,440.74,441.25,438.83,439.07,95241
2022-04-13 12:00:00+00:00,439.03,439.2,437.78,437.94,189110
2022-04-13 13:00:00+00:00,437.92,440.25,437.51,439.01,2205879
2022-04-13 14:00:00+00:00,439.04,439.94,438.26,439.81,1685352
2022-04-13 15:00:00+00:00,439.825,441.985,439.8,441.01,1416272
2022-04-13 16:00:00+00:00,441.03,442.59,440.76,442.07,990334
2022-04-13 17:00:00+00:00,442.09,442.84,441.53,442.025,970812
2022-04-13 18:00:00+00:00,442.03,443.0,441.75,442.79,952917
2022-04-13 19:00:00+00:00,442.805,444.09,442.3,443.35,2784886
2022-04-13 20:00:00+00:00,443.36,443.41,442.91,442.99,364702
2022-04-13 21:00:00+00:00,443.0,443.15,442.98,443.1,19690
2022-04-13 22:00:00+00:00,443.04,443.31,442.99,443.31,11886
2022-04-13 23:00:00+00:00,443.3,443.32,443.0,443.05,8128
2022-04-14 08:00:00+00:00,443.46,443.53,442.88,443.19,12316
2022-04-14 09:00:00+00:00,443.26,443.41,442.84,443.31,5918
2022-04-14 10:00:00+00:00,443.58,443.59,442.91,443.25,3098
2022-04-14 11:00:00+00:00,443.24,443.69,442.45,442.56,8671
2022-04-14 12:00:00+00:00,442.67,443.37,442.2,442.23,53425
2022-04-14 13:00:00+00:00,442.23,444.73,441.67,442.12,1682967
2022-04-14 14:00:00+00:00,442.15,442.95,440.51,441.42,2149896
2022-04-14 15:00:00+00:00,441.41,442.27,440.57,440.78,1146158
2022-04-14 16:00:00+00:00,440.76,441.2,439.47,440.08,1181419
2022-04-14 17:00:00+00:00,440.07,441.35,439.65,441.3,1018225
2022-04-14 18:00:00+00:00,441.29,441.81,439.34,439.34,1098613
2022-04-14 19:00:00+00:00,439.34,440.0,437.68,437.87,4429523
2022-04-14 20:00:00+00:00,437.87,438.05,437.6,438.02,543842
2022-04-14 21:00:00+00:00,438.02,438.46,437.8,438.46,40061
2022-04-14 22:00:00+00:00,438.15,438.4,437.91,438.4,5491
2022-04-14 23:00:00+00:00,438.25,438.25,437.64,437.74,7653
2022-04-18 08:00:00+00:00,435.87,436.51,435.87,436.14,4012
2022-04-18 09:00:00+00:00,436.11,436.11,435.33,435.67,3420
2022-04-18 10:00:00+00:00,435.75,436.19,435.75,436.15,7807
2022-04-18 11:00:00+00:00,436.07,437.3,436.06,436.58,23835
2022-04-18 12:00:00+00:00,436.62,437.09,436.31,436.55,20960
2022-04-18 13:00:00+00:00,436.54,439.46,436.43,437.76,1713729
2022-04-18 14:00:00+00:00,437.765,439.5,437.08,438.57,1545058
2022-04-18 15:00:00+00:00,438.58,438.97,436.21,437.17,1128909
